date,discontented,isPartial
2013-01-06,29,False
2013-01-13,0,False
2013-01-20,37,False
2013-01-27,50,False
2013-02-03,28,False
2013-02-10,14,False
2013-02-17,14,False
2013-02-24,14,False
2013-03-03,14,False
2013-03-10,35,False
2013-03-17,7,False
2013-03-24,22,False
2013-03-31,43,False
2013-04-07,29,False
2013-04-14,28,False
2013-04-21,36,False
2013-04-28,29,False
2013-05-05,7,False
2013-05-12,15,False
2013-05-19,29,False
2013-05-26,31,False
2013-06-02,7,False
2013-06-09,15,False
2013-06-16,22,False
2013-06-23,0,False
2013-06-30,16,False
2013-07-07,7,False
2013-07-14,15,False
2013-07-21,15,False
2013-07-28,15,False
2013-08-04,7,False
2013-08-11,22,False
2013-08-18,0,False
2013-08-25,28,False
2013-09-01,44,False
2013-09-08,70,False
2013-09-15,63,False
2013-09-22,57,False
2013-09-29,49,False
2013-10-06,50,False
2013-10-13,100,False
2013-10-20,7,False
2013-10-27,49,False
2013-11-03,42,False
2013-11-10,42,False
2013-11-17,34,False
2013-11-24,22,False
2013-12-01,33,False
2013-12-08,34,False
2013-12-15,21,False
2013-12-22,16,False
2013-12-29,22,False
