geoName,discontented
Alabama,40
Alaska,0
Arizona,37
Arkansas,0
California,74
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,56
Georgia,70
Hawaii,0
Idaho,0
Illinois,81
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,65
Michigan,78
Minnesota,19
Mississippi,0
Missouri,41
Montana,0
Nebraska,0
Nevada,40
New Hampshire,0
New Jersey,64
New Mexico,0
New York,100
North Carolina,78
North Dakota,0
Ohio,25
Oklahoma,0
Oregon,35
Pennsylvania,39
Rhode Island,0
South Carolina,64
South Dakota,0
Tennessee,22
Texas,48
Utah,0
Vermont,0
Virginia,50
Washington,45
West Virginia,0
Wisconsin,0
Wyoming,0
