date,suffering,isPartial
2011-01-02,67,False
2011-01-09,75,False
2011-01-16,79,False
2011-01-23,69,False
2011-01-30,84,False
2011-02-06,83,False
2011-02-13,82,False
2011-02-20,79,False
2011-02-27,87,False
2011-03-06,100,False
2011-03-13,77,False
2011-03-20,84,False
2011-03-27,100,False
2011-04-03,90,False
2011-04-10,96,False
2011-04-17,99,False
2011-04-24,89,False
2011-05-01,93,False
2011-05-08,87,False
2011-05-15,78,False
2011-05-22,75,False
2011-05-29,70,False
2011-06-05,84,False
2011-06-12,72,False
2011-06-19,66,False
2011-06-26,72,False
2011-07-03,69,False
2011-07-10,73,False
2011-07-17,67,False
2011-07-24,72,False
2011-07-31,75,False
2011-08-07,67,False
2011-08-14,75,False
2011-08-21,72,False
2011-08-28,67,False
2011-09-04,77,False
2011-09-11,82,False
2011-09-18,74,False
2011-09-25,71,False
2011-10-02,88,False
2011-10-09,84,False
2011-10-16,82,False
2011-10-23,80,False
2011-10-30,100,False
2011-11-06,89,False
2011-11-13,90,False
2011-11-20,70,False
2011-11-27,93,False
2011-12-04,94,False
2011-12-11,86,False
2011-12-18,54,False
2011-12-25,52,False
