date,suffering,isPartial
2013-01-06,38,False
2013-01-13,46,False
2013-01-20,49,False
2013-01-27,41,False
2013-02-03,43,False
2013-02-10,45,False
2013-02-17,52,False
2013-02-24,52,False
2013-03-03,49,False
2013-03-10,47,False
2013-03-17,50,False
2013-03-24,49,False
2013-03-31,48,False
2013-04-07,51,False
2013-04-14,58,False
2013-04-21,52,False
2013-04-28,53,False
2013-05-05,54,False
2013-05-12,49,False
2013-05-19,42,False
2013-05-26,42,False
2013-06-02,40,False
2013-06-09,41,False
2013-06-16,35,False
2013-06-23,41,False
2013-06-30,37,False
2013-07-07,35,False
2013-07-14,38,False
2013-07-21,36,False
2013-07-28,42,False
2013-08-04,34,False
2013-08-11,36,False
2013-08-18,38,False
2013-08-25,37,False
2013-09-01,43,False
2013-09-08,47,False
2013-09-15,51,False
2013-09-22,50,False
2013-09-29,51,False
2013-10-06,58,False
2013-10-13,75,False
2013-10-20,100,False
2013-10-27,71,False
2013-11-03,62,False
2013-11-10,62,False
2013-11-17,61,False
2013-11-24,54,False
2013-12-01,49,False
2013-12-08,60,False
2013-12-15,50,False
2013-12-22,32,False
2013-12-29,36,False
