date,suffering,isPartial
2014-01-05,63,False
2014-01-12,70,False
2014-01-19,70,False
2014-01-26,71,False
2014-02-02,77,False
2014-02-09,82,False
2014-02-16,78,False
2014-02-23,85,False
2014-03-02,81,False
2014-03-09,78,False
2014-03-16,77,False
2014-03-23,81,False
2014-03-30,88,False
2014-04-06,90,False
2014-04-13,93,False
2014-04-20,88,False
2014-04-27,94,False
2014-05-04,81,False
2014-05-11,69,False
2014-05-18,71,False
2014-05-25,72,False
2014-06-01,57,False
2014-06-08,67,False
2014-06-15,64,False
2014-06-22,55,False
2014-06-29,62,False
2014-07-06,61,False
2014-07-13,64,False
2014-07-20,54,False
2014-07-27,62,False
2014-08-03,65,False
2014-08-10,69,False
2014-08-17,55,False
2014-08-24,62,False
2014-08-31,73,False
2014-09-07,73,False
2014-09-14,67,False
2014-09-21,75,False
2014-09-28,82,False
2014-10-05,91,False
2014-10-12,81,False
2014-10-19,83,False
2014-10-26,85,False
2014-11-02,83,False
2014-11-09,96,False
2014-11-16,82,False
2014-11-23,73,False
2014-11-30,90,False
2014-12-07,100,False
2014-12-14,84,False
2014-12-21,55,False
2014-12-28,56,False
