date,suffering,isPartial
2016-01-03,67,False
2016-01-10,64,False
2016-01-17,69,False
2016-01-24,78,False
2016-01-31,78,False
2016-02-07,74,False
2016-02-14,71,False
2016-02-21,72,False
2016-02-28,77,False
2016-03-06,73,False
2016-03-13,70,False
2016-03-20,76,False
2016-03-27,71,False
2016-04-03,80,False
2016-04-10,81,False
2016-04-17,85,False
2016-04-24,91,False
2016-05-01,70,False
2016-05-08,74,False
2016-05-15,60,False
2016-05-22,59,False
2016-05-29,59,False
2016-06-05,57,False
2016-06-12,59,False
2016-06-19,58,False
2016-06-26,57,False
2016-07-03,53,False
2016-07-10,59,False
2016-07-17,52,False
2016-07-24,57,False
2016-07-31,54,False
2016-08-07,58,False
2016-08-14,54,False
2016-08-21,57,False
2016-08-28,59,False
2016-09-04,69,False
2016-09-11,74,False
2016-09-18,70,False
2016-09-25,72,False
2016-10-02,71,False
2016-10-09,74,False
2016-10-16,100,False
2016-10-23,88,False
2016-10-30,80,False
2016-11-06,70,False
2016-11-13,82,False
2016-11-20,58,False
2016-11-27,82,False
2016-12-04,87,False
2016-12-11,84,False
2016-12-18,54,False
2016-12-25,47,False
