date,suffering,isPartial
2015-01-04,78,False
2015-01-11,76,False
2015-01-18,76,False
2015-01-25,93,False
2015-02-01,76,False
2015-02-08,74,False
2015-02-15,82,False
2015-02-22,83,False
2015-03-01,87,False
2015-03-08,82,False
2015-03-15,85,False
2015-03-22,89,False
2015-03-29,82,False
2015-04-05,88,False
2015-04-12,88,False
2015-04-19,92,False
2015-04-26,84,False
2015-05-03,99,False
2015-05-10,88,False
2015-05-17,71,False
2015-05-24,76,False
2015-05-31,65,False
2015-06-07,64,False
2015-06-14,65,False
2015-06-21,66,False
2015-06-28,64,False
2015-07-05,63,False
2015-07-12,66,False
2015-07-19,59,False
2015-07-26,69,False
2015-08-02,64,False
2015-08-09,63,False
2015-08-16,72,False
2015-08-23,63,False
2015-08-30,68,False
2015-09-06,83,False
2015-09-13,72,False
2015-09-20,78,False
2015-09-27,81,False
2015-10-04,93,False
2015-10-11,87,False
2015-10-18,89,False
2015-10-25,90,False
2015-11-01,91,False
2015-11-08,100,False
2015-11-15,85,False
2015-11-22,75,False
2015-11-29,93,False
2015-12-06,92,False
2015-12-13,85,False
2015-12-20,51,False
2015-12-27,49,False
