date,suffering,isPartial
2012-01-01,71,False
2012-01-08,76,False
2012-01-15,73,False
2012-01-22,71,False
2012-01-29,89,False
2012-02-05,79,False
2012-02-12,76,False
2012-02-19,81,False
2012-02-26,79,False
2012-03-04,84,False
2012-03-11,82,False
2012-03-18,81,False
2012-03-25,84,False
2012-04-01,83,False
2012-04-08,91,False
2012-04-15,88,False
2012-04-22,84,False
2012-04-29,92,False
2012-05-06,79,False
2012-05-13,73,False
2012-05-20,68,False
2012-05-27,76,False
2012-06-03,79,False
2012-06-10,68,False
2012-06-17,63,False
2012-06-24,68,False
2012-07-01,71,False
2012-07-08,63,False
2012-07-15,72,False
2012-07-22,63,False
2012-07-29,71,False
2012-08-05,69,False
2012-08-12,53,False
2012-08-19,62,False
2012-08-26,67,False
2012-09-02,60,False
2012-09-09,74,False
2012-09-16,88,False
2012-09-23,80,False
2012-09-30,84,False
2012-10-07,89,False
2012-10-14,88,False
2012-10-21,86,False
2012-10-28,83,False
2012-11-04,83,False
2012-11-11,96,False
2012-11-18,69,False
2012-11-25,85,False
2012-12-02,88,False
2012-12-09,100,False
2012-12-16,69,False
2012-12-23,49,False
2012-12-30,59,False
