date,withdrawn,isPartial
2012-01-01,45,False
2012-01-08,66,False
2012-01-15,87,False
2012-01-22,52,False
2012-01-29,79,False
2012-02-05,73,False
2012-02-12,56,False
2012-02-19,75,False
2012-02-26,62,False
2012-03-04,84,False
2012-03-11,72,False
2012-03-18,46,False
2012-03-25,63,False
2012-04-01,65,False
2012-04-08,81,False
2012-04-15,69,False
2012-04-22,56,False
2012-04-29,56,False
2012-05-06,64,False
2012-05-13,55,False
2012-05-20,38,False
2012-05-27,44,False
2012-06-03,60,False
2012-06-10,41,False
2012-06-17,52,False
2012-06-24,55,False
2012-07-01,62,False
2012-07-08,48,False
2012-07-15,71,False
2012-07-22,66,False
2012-07-29,67,False
2012-08-05,62,False
2012-08-12,68,False
2012-08-19,49,False
2012-08-26,64,False
2012-09-02,66,False
2012-09-09,72,False
2012-09-16,54,False
2012-09-23,58,False
2012-09-30,60,False
2012-10-07,57,False
2012-10-14,63,False
2012-10-21,73,False
2012-10-28,71,False
2012-11-04,73,False
2012-11-11,83,False
2012-11-18,62,False
2012-11-25,100,False
2012-12-02,71,False
2012-12-09,78,False
2012-12-16,51,False
2012-12-23,38,False
2012-12-30,46,False
