date,drugs,isPartial
2013-01-06,93,False
2013-01-13,91,False
2013-01-20,88,False
2013-01-27,89,False
2013-02-03,87,False
2013-02-10,83,False
2013-02-17,87,False
2013-02-24,90,False
2013-03-03,88,False
2013-03-10,86,False
2013-03-17,88,False
2013-03-24,89,False
2013-03-31,93,False
2013-04-07,94,False
2013-04-14,90,False
2013-04-21,98,False
2013-04-28,96,False
2013-05-05,89,False
2013-05-12,89,False
2013-05-19,85,False
2013-05-26,83,False
2013-06-02,82,False
2013-06-09,77,False
2013-06-16,82,False
2013-06-23,84,False
2013-06-30,81,False
2013-07-07,79,False
2013-07-14,93,False
2013-07-21,84,False
2013-07-28,80,False
2013-08-04,80,False
2013-08-11,83,False
2013-08-18,79,False
2013-08-25,91,False
2013-09-01,84,False
2013-09-08,87,False
2013-09-15,88,False
2013-09-22,92,False
2013-09-29,91,False
2013-10-06,94,False
2013-10-13,96,False
2013-10-20,96,False
2013-10-27,95,False
2013-11-03,96,False
2013-11-10,100,False
2013-11-17,97,False
2013-11-24,76,False
2013-12-01,90,False
2013-12-08,90,False
2013-12-15,85,False
2013-12-22,71,False
2013-12-29,76,False
