date,drugs,isPartial
2016-01-03,81,False
2016-01-10,78,False
2016-01-17,80,False
2016-01-24,83,False
2016-01-31,87,False
2016-02-07,86,False
2016-02-14,86,False
2016-02-21,92,False
2016-02-28,89,False
2016-03-06,89,False
2016-03-13,84,False
2016-03-20,89,False
2016-03-27,88,False
2016-04-03,89,False
2016-04-10,91,False
2016-04-17,100,False
2016-04-24,95,False
2016-05-01,86,False
2016-05-08,86,False
2016-05-15,85,False
2016-05-22,81,False
2016-05-29,76,False
2016-06-05,81,False
2016-06-12,78,False
2016-06-19,74,False
2016-06-26,78,False
2016-07-03,73,False
2016-07-10,72,False
2016-07-17,75,False
2016-07-24,73,False
2016-07-31,70,False
2016-08-07,74,False
2016-08-14,68,False
2016-08-21,73,False
2016-08-28,76,False
2016-09-04,81,False
2016-09-11,79,False
2016-09-18,80,False
2016-09-25,81,False
2016-10-02,81,False
2016-10-09,83,False
2016-10-16,88,False
2016-10-23,91,False
2016-10-30,83,False
2016-11-06,77,False
2016-11-13,87,False
2016-11-20,71,False
2016-11-27,84,False
2016-12-04,86,False
2016-12-11,80,False
2016-12-18,73,False
2016-12-25,71,False
