date,drugs,isPartial
2014-01-05,84,False
2014-01-12,89,False
2014-01-19,94,False
2014-01-26,92,False
2014-02-02,99,False
2014-02-09,92,False
2014-02-16,92,False
2014-02-23,94,False
2014-03-02,91,False
2014-03-09,95,False
2014-03-16,97,False
2014-03-23,100,False
2014-03-30,97,False
2014-04-06,100,False
2014-04-13,93,False
2014-04-20,99,False
2014-04-27,97,False
2014-05-04,95,False
2014-05-11,91,False
2014-05-18,93,False
2014-05-25,92,False
2014-06-01,83,False
2014-06-08,83,False
2014-06-15,83,False
2014-06-22,81,False
2014-06-29,89,False
2014-07-06,88,False
2014-07-13,84,False
2014-07-20,84,False
2014-07-27,86,False
2014-08-03,85,False
2014-08-10,87,False
2014-08-17,87,False
2014-08-24,87,False
2014-08-31,89,False
2014-09-07,89,False
2014-09-14,86,False
2014-09-21,89,False
2014-09-28,91,False
2014-10-05,100,False
2014-10-12,93,False
2014-10-19,94,False
2014-10-26,99,False
2014-11-02,94,False
2014-11-09,94,False
2014-11-16,96,False
2014-11-23,82,False
2014-11-30,95,False
2014-12-07,94,False
2014-12-14,87,False
2014-12-21,75,False
2014-12-28,77,False
