geoName,drugs
Alabama,43
Alaska,31
Arizona,36
Arkansas,42
California,32
Colorado,32
Connecticut,36
Delaware,43
District of Columbia,34
Florida,34
Georgia,35
Hawaii,100
Idaho,36
Illinois,35
Indiana,38
Iowa,34
Kansas,36
Kentucky,45
Louisiana,42
Maine,37
Maryland,37
Massachusetts,38
Michigan,37
Minnesota,34
Mississippi,47
Missouri,34
Montana,32
Nebraska,33
Nevada,34
New Hampshire,34
New Jersey,37
New Mexico,35
New York,37
North Carolina,38
North Dakota,31
Ohio,38
Oklahoma,37
Oregon,23
Pennsylvania,39
Rhode Island,36
South Carolina,40
South Dakota,38
Tennessee,41
Texas,32
Utah,31
Vermont,58
Virginia,33
Washington,38
West Virginia,45
Wisconsin,34
Wyoming,37
