date,drugs,isPartial
2015-01-04,85,False
2015-01-11,83,False
2015-01-18,87,False
2015-01-25,89,False
2015-02-01,88,False
2015-02-08,83,False
2015-02-15,84,False
2015-02-22,88,False
2015-03-01,85,False
2015-03-08,90,False
2015-03-15,86,False
2015-03-22,86,False
2015-03-29,88,False
2015-04-05,89,False
2015-04-12,95,False
2015-04-19,96,False
2015-04-26,94,False
2015-05-03,88,False
2015-05-10,87,False
2015-05-17,96,False
2015-05-24,85,False
2015-05-31,86,False
2015-06-07,83,False
2015-06-14,79,False
2015-06-21,85,False
2015-06-28,78,False
2015-07-05,84,False
2015-07-12,88,False
2015-07-19,84,False
2015-07-26,82,False
2015-08-02,79,False
2015-08-09,82,False
2015-08-16,83,False
2015-08-23,83,False
2015-08-30,81,False
2015-09-06,83,False
2015-09-13,90,False
2015-09-20,92,False
2015-09-27,92,False
2015-10-04,95,False
2015-10-11,93,False
2015-10-18,98,False
2015-10-25,100,False
2015-11-01,91,False
2015-11-08,87,False
2015-11-15,90,False
2015-11-22,74,False
2015-11-29,91,False
2015-12-06,89,False
2015-12-13,83,False
2015-12-20,72,False
2015-12-27,73,False
