date,drugs,isPartial
2012-01-01,66,False
2012-01-08,72,False
2012-01-15,71,False
2012-01-22,72,False
2012-01-29,73,False
2012-02-05,70,False
2012-02-12,100,False
2012-02-19,76,False
2012-02-26,77,False
2012-03-04,73,False
2012-03-11,68,False
2012-03-18,69,False
2012-03-25,70,False
2012-04-01,66,False
2012-04-08,69,False
2012-04-15,74,False
2012-04-22,71,False
2012-04-29,70,False
2012-05-06,68,False
2012-05-13,66,False
2012-05-20,64,False
2012-05-27,69,False
2012-06-03,67,False
2012-06-10,63,False
2012-06-17,61,False
2012-06-24,62,False
2012-07-01,57,False
2012-07-08,61,False
2012-07-15,65,False
2012-07-22,65,False
2012-07-29,61,False
2012-08-05,65,False
2012-08-12,61,False
2012-08-19,57,False
2012-08-26,61,False
2012-09-02,60,False
2012-09-09,63,False
2012-09-16,66,False
2012-09-23,66,False
2012-09-30,70,False
2012-10-07,66,False
2012-10-14,71,False
2012-10-21,74,False
2012-10-28,66,False
2012-11-04,65,False
2012-11-11,69,False
2012-11-18,59,False
2012-11-25,69,False
2012-12-02,74,False
2012-12-09,70,False
2012-12-16,61,False
2012-12-23,52,False
2012-12-30,61,False
