date,antidepressant,isPartial
2012-01-01,75,False
2012-01-08,76,False
2012-01-15,67,False
2012-01-22,75,False
2012-01-29,83,False
2012-02-05,76,False
2012-02-12,76,False
2012-02-19,70,False
2012-02-26,72,False
2012-03-04,89,False
2012-03-11,82,False
2012-03-18,77,False
2012-03-25,96,False
2012-04-01,62,False
2012-04-08,73,False
2012-04-15,77,False
2012-04-22,78,False
2012-04-29,87,False
2012-05-06,78,False
2012-05-13,66,False
2012-05-20,83,False
2012-05-27,69,False
2012-06-03,78,False
2012-06-10,74,False
2012-06-17,56,False
2012-06-24,65,False
2012-07-01,74,False
2012-07-08,70,False
2012-07-15,81,False
2012-07-22,73,False
2012-07-29,80,False
2012-08-05,71,False
2012-08-12,71,False
2012-08-19,80,False
2012-08-26,73,False
2012-09-02,79,False
2012-09-09,78,False
2012-09-16,98,False
2012-09-23,72,False
2012-09-30,100,False
2012-10-07,76,False
2012-10-14,88,False
2012-10-21,72,False
2012-10-28,72,False
2012-11-04,72,False
2012-11-11,73,False
2012-11-18,67,False
2012-11-25,83,False
2012-12-02,71,False
2012-12-09,88,False
2012-12-16,76,False
2012-12-23,63,False
2012-12-30,73,False
