date,antidepressant,isPartial
2016-01-03,69,False
2016-01-10,71,False
2016-01-17,57,False
2016-01-24,83,False
2016-01-31,75,False
2016-02-07,76,False
2016-02-14,78,False
2016-02-21,98,False
2016-02-28,98,False
2016-03-06,76,False
2016-03-13,76,False
2016-03-20,91,False
2016-03-27,80,False
2016-04-03,83,False
2016-04-10,87,False
2016-04-17,93,False
2016-04-24,80,False
2016-05-01,88,False
2016-05-08,82,False
2016-05-15,73,False
2016-05-22,80,False
2016-05-29,76,False
2016-06-05,84,False
2016-06-12,65,False
2016-06-19,78,False
2016-06-26,73,False
2016-07-03,83,False
2016-07-10,81,False
2016-07-17,100,False
2016-07-24,82,False
2016-07-31,92,False
2016-08-07,97,False
2016-08-14,75,False
2016-08-21,84,False
2016-08-28,89,False
2016-09-04,88,False
2016-09-11,83,False
2016-09-18,87,False
2016-09-25,87,False
2016-10-02,87,False
2016-10-09,73,False
2016-10-16,87,False
2016-10-23,91,False
2016-10-30,79,False
2016-11-06,76,False
2016-11-13,81,False
2016-11-20,63,False
2016-11-27,80,False
2016-12-04,91,False
2016-12-11,87,False
2016-12-18,67,False
2016-12-25,83,False
