date,antidepressant,isPartial
2011-01-02,74,False
2011-01-09,70,False
2011-01-16,70,False
2011-01-23,60,False
2011-01-30,68,False
2011-02-06,76,False
2011-02-13,91,False
2011-02-20,78,False
2011-02-27,78,False
2011-03-06,96,False
2011-03-13,76,False
2011-03-20,92,False
2011-03-27,85,False
2011-04-03,77,False
2011-04-10,61,False
2011-04-17,83,False
2011-04-24,78,False
2011-05-01,88,False
2011-05-08,80,False
2011-05-15,76,False
2011-05-22,82,False
2011-05-29,71,False
2011-06-05,71,False
2011-06-12,79,False
2011-06-19,79,False
2011-06-26,67,False
2011-07-03,62,False
2011-07-10,87,False
2011-07-17,76,False
2011-07-24,71,False
2011-07-31,67,False
2011-08-07,64,False
2011-08-14,71,False
2011-08-21,69,False
2011-08-28,80,False
2011-09-04,71,False
2011-09-11,73,False
2011-09-18,73,False
2011-09-25,71,False
2011-10-02,79,False
2011-10-09,74,False
2011-10-16,81,False
2011-10-23,68,False
2011-10-30,96,False
2011-11-06,100,False
2011-11-13,83,False
2011-11-20,64,False
2011-11-27,85,False
2011-12-04,69,False
2011-12-11,64,False
2011-12-18,48,False
2011-12-25,56,False
