date,antidepressant,isPartial
2014-01-05,62,False
2014-01-12,63,False
2014-01-19,66,False
2014-01-26,73,False
2014-02-02,74,False
2014-02-09,72,False
2014-02-16,67,False
2014-02-23,77,False
2014-03-02,81,False
2014-03-09,95,False
2014-03-16,77,False
2014-03-23,95,False
2014-03-30,89,False
2014-04-06,73,False
2014-04-13,95,False
2014-04-20,89,False
2014-04-27,75,False
2014-05-04,68,False
2014-05-11,84,False
2014-05-18,69,False
2014-05-25,66,False
2014-06-01,74,False
2014-06-08,51,False
2014-06-15,64,False
2014-06-22,64,False
2014-06-29,59,False
2014-07-06,74,False
2014-07-13,79,False
2014-07-20,82,False
2014-07-27,74,False
2014-08-03,78,False
2014-08-10,96,False
2014-08-17,84,False
2014-08-24,100,False
2014-08-31,78,False
2014-09-07,84,False
2014-09-14,72,False
2014-09-21,76,False
2014-09-28,64,False
2014-10-05,79,False
2014-10-12,67,False
2014-10-19,68,False
2014-10-26,68,False
2014-11-02,68,False
2014-11-09,82,False
2014-11-16,71,False
2014-11-23,72,False
2014-11-30,80,False
2014-12-07,72,False
2014-12-14,60,False
2014-12-21,58,False
2014-12-28,52,False
