date,antidepressant,isPartial
2015-01-04,64,False
2015-01-11,69,False
2015-01-18,79,False
2015-01-25,80,False
2015-02-01,70,False
2015-02-08,73,False
2015-02-15,60,False
2015-02-22,66,False
2015-03-01,71,False
2015-03-08,72,False
2015-03-15,73,False
2015-03-22,83,False
2015-03-29,80,False
2015-04-05,79,False
2015-04-12,84,False
2015-04-19,80,False
2015-04-26,85,False
2015-05-03,73,False
2015-05-10,84,False
2015-05-17,72,False
2015-05-24,76,False
2015-05-31,75,False
2015-06-07,80,False
2015-06-14,65,False
2015-06-21,81,False
2015-06-28,78,False
2015-07-05,76,False
2015-07-12,83,False
2015-07-19,74,False
2015-07-26,76,False
2015-08-02,86,False
2015-08-09,80,False
2015-08-16,85,False
2015-08-23,83,False
2015-08-30,69,False
2015-09-06,70,False
2015-09-13,77,False
2015-09-20,87,False
2015-09-27,85,False
2015-10-04,79,False
2015-10-11,86,False
2015-10-18,94,False
2015-10-25,100,False
2015-11-01,88,False
2015-11-08,90,False
2015-11-15,91,False
2015-11-22,71,False
2015-11-29,76,False
2015-12-06,89,False
2015-12-13,76,False
2015-12-20,63,False
2015-12-27,68,False
