date,antidepressant,isPartial
2013-01-06,85,False
2013-01-13,81,False
2013-01-20,75,False
2013-01-27,74,False
2013-02-03,81,False
2013-02-10,74,False
2013-02-17,84,False
2013-02-24,87,False
2013-03-03,86,False
2013-03-10,78,False
2013-03-17,89,False
2013-03-24,69,False
2013-03-31,75,False
2013-04-07,86,False
2013-04-14,81,False
2013-04-21,75,False
2013-04-28,83,False
2013-05-05,69,False
2013-05-12,89,False
2013-05-19,79,False
2013-05-26,94,False
2013-06-02,85,False
2013-06-09,69,False
2013-06-16,92,False
2013-06-23,90,False
2013-06-30,61,False
2013-07-07,79,False
2013-07-14,76,False
2013-07-21,95,False
2013-07-28,87,False
2013-08-04,78,False
2013-08-11,84,False
2013-08-18,78,False
2013-08-25,60,False
2013-09-01,75,False
2013-09-08,75,False
2013-09-15,74,False
2013-09-22,78,False
2013-09-29,85,False
2013-10-06,100,False
2013-10-13,86,False
2013-10-20,83,False
2013-10-27,87,False
2013-11-03,81,False
2013-11-10,78,False
2013-11-17,90,False
2013-11-24,69,False
2013-12-01,82,False
2013-12-08,77,False
2013-12-15,76,False
2013-12-22,48,False
2013-12-29,64,False
