date,education,isPartial
2012-01-01,82,False
2012-01-08,94,False
2012-01-15,95,False
2012-01-22,100,False
2012-01-29,98,False
2012-02-05,96,False
2012-02-12,93,False
2012-02-19,92,False
2012-02-26,96,False
2012-03-04,97,False
2012-03-11,88,False
2012-03-18,92,False
2012-03-25,94,False
2012-04-01,85,False
2012-04-08,89,False
2012-04-15,97,False
2012-04-22,96,False
2012-04-29,97,False
2012-05-06,92,False
2012-05-13,87,False
2012-05-20,85,False
2012-05-27,75,False
2012-06-03,81,False
2012-06-10,78,False
2012-06-17,75,False
2012-06-24,69,False
2012-07-01,59,False
2012-07-08,71,False
2012-07-15,73,False
2012-07-22,73,False
2012-07-29,74,False
2012-08-05,73,False
2012-08-12,78,False
2012-08-19,84,False
2012-08-26,87,False
2012-09-02,89,False
2012-09-09,93,False
2012-09-16,93,False
2012-09-23,92,False
2012-09-30,94,False
2012-10-07,87,False
2012-10-14,88,False
2012-10-21,88,False
2012-10-28,89,False
2012-11-04,92,False
2012-11-11,85,False
2012-11-18,57,False
2012-11-25,89,False
2012-12-02,89,False
2012-12-09,78,False
2012-12-16,63,False
2012-12-23,38,False
2012-12-30,59,False
