date,education,isPartial
2011-01-02,92,False
2011-01-09,95,False
2011-01-16,93,False
2011-01-23,100,False
2011-01-30,94,False
2011-02-06,94,False
2011-02-13,96,False
2011-02-20,93,False
2011-02-27,98,False
2011-03-06,92,False
2011-03-13,85,False
2011-03-20,93,False
2011-03-27,98,False
2011-04-03,95,False
2011-04-10,96,False
2011-04-17,85,False
2011-04-24,91,False
2011-05-01,91,False
2011-05-08,90,False
2011-05-15,92,False
2011-05-22,85,False
2011-05-29,75,False
2011-06-05,81,False
2011-06-12,76,False
2011-06-19,72,False
2011-06-26,69,False
2011-07-03,68,False
2011-07-10,70,False
2011-07-17,72,False
2011-07-24,72,False
2011-07-31,75,False
2011-08-07,75,False
2011-08-14,79,False
2011-08-21,80,False
2011-08-28,84,False
2011-09-04,81,False
2011-09-11,92,False
2011-09-18,88,False
2011-09-25,89,False
2011-10-02,87,False
2011-10-09,88,False
2011-10-16,87,False
2011-10-23,84,False
2011-10-30,88,False
2011-11-06,86,False
2011-11-13,87,False
2011-11-20,59,False
2011-11-27,85,False
2011-12-04,84,False
2011-12-11,76,False
2011-12-18,50,False
2011-12-25,45,False
