date,family,isPartial
2012-01-01,100,False
2012-01-08,97,False
2012-01-15,95,False
2012-01-22,94,False
2012-01-29,91,False
2012-02-05,92,False
2012-02-12,91,False
2012-02-19,95,False
2012-02-26,92,False
2012-03-04,91,False
2012-03-11,88,False
2012-03-18,89,False
2012-03-25,89,False
2012-04-01,89,False
2012-04-08,88,False
2012-04-15,88,False
2012-04-22,86,False
2012-04-29,90,False
2012-05-06,92,False
2012-05-13,92,False
2012-05-20,88,False
2012-05-27,91,False
2012-06-03,91,False
2012-06-10,90,False
2012-06-17,92,False
2012-06-24,89,False
2012-07-01,90,False
2012-07-08,93,False
2012-07-15,90,False
2012-07-22,91,False
2012-07-29,88,False
2012-08-05,86,False
2012-08-12,90,False
2012-08-19,90,False
2012-08-26,91,False
2012-09-02,85,False
2012-09-09,86,False
2012-09-16,89,False
2012-09-23,92,False
2012-09-30,91,False
2012-10-07,90,False
2012-10-14,89,False
2012-10-21,92,False
2012-10-28,87,False
2012-11-04,88,False
2012-11-11,93,False
2012-11-18,87,False
2012-11-25,95,False
2012-12-02,95,False
2012-12-09,94,False
2012-12-16,89,False
2012-12-23,96,False
2012-12-30,90,False
