geoName,misery
Alabama,39
Alaska,31
Arizona,40
Arkansas,45
California,42
Colorado,45
Connecticut,39
Delaware,67
District of Columbia,35
Florida,38
Georgia,38
Hawaii,42
Idaho,57
Illinois,41
Indiana,40
Iowa,44
Kansas,47
Kentucky,52
Louisiana,38
Maine,49
Maryland,43
Massachusetts,47
Michigan,45
Minnesota,38
Mississippi,33
Missouri,39
Montana,52
Nebraska,42
Nevada,41
New Hampshire,39
New Jersey,46
New Mexico,36
New York,44
North Carolina,39
North Dakota,51
Ohio,49
Oklahoma,38
Oregon,37
Pennsylvania,52
Rhode Island,47
South Carolina,38
South Dakota,33
Tennessee,44
Texas,37
Utah,55
Vermont,100
Virginia,44
Washington,44
West Virginia,54
Wisconsin,51
Wyoming,59
