date,rejected,isPartial
2012-01-01,84,False
2012-01-08,79,False
2012-01-15,88,False
2012-01-22,84,False
2012-01-29,85,False
2012-02-05,93,False
2012-02-12,87,False
2012-02-19,92,False
2012-02-26,92,False
2012-03-04,87,False
2012-03-11,98,False
2012-03-18,95,False
2012-03-25,100,False
2012-04-01,87,False
2012-04-08,80,False
2012-04-15,94,False
2012-04-22,88,False
2012-04-29,81,False
2012-05-06,76,False
2012-05-13,78,False
2012-05-20,73,False
2012-05-27,74,False
2012-06-03,71,False
2012-06-10,80,False
2012-06-17,84,False
2012-06-24,77,False
2012-07-01,75,False
2012-07-08,72,False
2012-07-15,80,False
2012-07-22,85,False
2012-07-29,83,False
2012-08-05,73,False
2012-08-12,80,False
2012-08-19,74,False
2012-08-26,81,False
2012-09-02,69,False
2012-09-09,78,False
2012-09-16,71,False
2012-09-23,84,False
2012-09-30,87,False
2012-10-07,83,False
2012-10-14,77,False
2012-10-21,81,False
2012-10-28,70,False
2012-11-04,84,False
2012-11-11,85,False
2012-11-18,72,False
2012-11-25,85,False
2012-12-02,96,False
2012-12-09,87,False
2012-12-16,72,False
2012-12-23,60,False
2012-12-30,73,False
