geoName,rejected
Alabama,78
Alaska,54
Arizona,71
Arkansas,72
California,81
Colorado,76
Connecticut,84
Delaware,58
District of Columbia,55
Florida,69
Georgia,69
Hawaii,56
Idaho,59
Illinois,66
Indiana,60
Iowa,51
Kansas,70
Kentucky,79
Louisiana,59
Maine,53
Maryland,77
Massachusetts,78
Michigan,68
Minnesota,65
Mississippi,39
Missouri,65
Montana,87
Nebraska,57
Nevada,66
New Hampshire,61
New Jersey,88
New Mexico,51
New York,74
North Carolina,66
North Dakota,39
Ohio,68
Oklahoma,71
Oregon,68
Pennsylvania,74
Rhode Island,92
South Carolina,74
South Dakota,57
Tennessee,70
Texas,68
Utah,77
Vermont,100
Virginia,91
Washington,69
West Virginia,46
Wisconsin,84
Wyoming,55
