date,rejected,isPartial
2014-01-05,65,False
2014-01-12,71,False
2014-01-19,76,False
2014-01-26,85,False
2014-02-02,88,False
2014-02-09,100,False
2014-02-16,92,False
2014-02-23,90,False
2014-03-02,81,False
2014-03-09,84,False
2014-03-16,75,False
2014-03-23,80,False
2014-03-30,76,False
2014-04-06,86,False
2014-04-13,97,False
2014-04-20,86,False
2014-04-27,71,False
2014-05-04,78,False
2014-05-11,75,False
2014-05-18,73,False
2014-05-25,80,False
2014-06-01,66,False
2014-06-08,80,False
2014-06-15,74,False
2014-06-22,77,False
2014-06-29,58,False
2014-07-06,68,False
2014-07-13,75,False
2014-07-20,64,False
2014-07-27,62,False
2014-08-03,79,False
2014-08-10,61,False
2014-08-17,63,False
2014-08-24,65,False
2014-08-31,60,False
2014-09-07,73,False
2014-09-14,73,False
2014-09-21,62,False
2014-09-28,87,False
2014-10-05,83,False
2014-10-12,74,False
2014-10-19,72,False
2014-10-26,76,False
2014-11-02,74,False
2014-11-09,73,False
2014-11-16,83,False
2014-11-23,59,False
2014-11-30,68,False
2014-12-07,66,False
2014-12-14,72,False
2014-12-21,58,False
2014-12-28,48,False
