geoName,rejected
Alabama,79
Alaska,76
Arizona,85
Arkansas,74
California,99
Colorado,76
Connecticut,92
Delaware,76
District of Columbia,85
Florida,74
Georgia,68
Hawaii,79
Idaho,81
Illinois,81
Indiana,94
Iowa,89
Kansas,77
Kentucky,72
Louisiana,82
Maine,63
Maryland,93
Massachusetts,95
Michigan,79
Minnesota,76
Mississippi,59
Missouri,74
Montana,82
Nebraska,79
Nevada,77
New Hampshire,95
New Jersey,100
New Mexico,71
New York,94
North Carolina,84
North Dakota,63
Ohio,85
Oklahoma,74
Oregon,52
Pennsylvania,84
Rhode Island,84
South Carolina,71
South Dakota,96
Tennessee,75
Texas,80
Utah,76
Vermont,84
Virginia,80
Washington,81
West Virginia,86
Wisconsin,69
Wyoming,82
