geoName,rejected
Alabama,76
Alaska,64
Arizona,85
Arkansas,77
California,88
Colorado,66
Connecticut,89
Delaware,92
District of Columbia,68
Florida,78
Georgia,69
Hawaii,91
Idaho,84
Illinois,68
Indiana,85
Iowa,73
Kansas,59
Kentucky,80
Louisiana,64
Maine,48
Maryland,78
Massachusetts,94
Michigan,78
Minnesota,86
Mississippi,70
Missouri,67
Montana,65
Nebraska,85
Nevada,76
New Hampshire,95
New Jersey,82
New Mexico,89
New York,80
North Carolina,74
North Dakota,85
Ohio,73
Oklahoma,68
Oregon,83
Pennsylvania,80
Rhode Island,84
South Carolina,60
South Dakota,84
Tennessee,66
Texas,70
Utah,57
Vermont,92
Virginia,92
Washington,79
West Virginia,100
Wisconsin,76
Wyoming,65
