date,rejected,isPartial
2013-01-06,66,False
2013-01-13,69,False
2013-01-20,73,False
2013-01-27,97,False
2013-02-03,92,False
2013-02-10,100,False
2013-02-17,87,False
2013-02-24,86,False
2013-03-03,85,False
2013-03-10,76,False
2013-03-17,84,False
2013-03-24,83,False
2013-03-31,97,False
2013-04-07,83,False
2013-04-14,91,False
2013-04-21,77,False
2013-04-28,77,False
2013-05-05,69,False
2013-05-12,74,False
2013-05-19,69,False
2013-05-26,63,False
2013-06-02,68,False
2013-06-09,69,False
2013-06-16,68,False
2013-06-23,68,False
2013-06-30,59,False
2013-07-07,68,False
2013-07-14,65,False
2013-07-21,58,False
2013-07-28,60,False
2013-08-04,73,False
2013-08-11,67,False
2013-08-18,63,False
2013-08-25,64,False
2013-09-01,74,False
2013-09-08,74,False
2013-09-15,71,False
2013-09-22,72,False
2013-09-29,72,False
2013-10-06,76,False
2013-10-13,73,False
2013-10-20,73,False
2013-10-27,74,False
2013-11-03,77,False
2013-11-10,80,False
2013-11-17,75,False
2013-11-24,61,False
2013-12-01,75,False
2013-12-08,75,False
2013-12-15,77,False
2013-12-22,58,False
2013-12-29,63,False
