date,rejected,isPartial
2015-01-04,69,False
2015-01-11,71,False
2015-01-18,83,False
2015-01-25,89,False
2015-02-01,100,False
2015-02-08,92,False
2015-02-15,87,False
2015-02-22,77,False
2015-03-01,88,False
2015-03-08,88,False
2015-03-15,79,False
2015-03-22,80,False
2015-03-29,89,False
2015-04-05,91,False
2015-04-12,99,False
2015-04-19,85,False
2015-04-26,82,False
2015-05-03,69,False
2015-05-10,74,False
2015-05-17,67,False
2015-05-24,71,False
2015-05-31,74,False
2015-06-07,74,False
2015-06-14,64,False
2015-06-21,72,False
2015-06-28,69,False
2015-07-05,64,False
2015-07-12,76,False
2015-07-19,69,False
2015-07-26,71,False
2015-08-02,60,False
2015-08-09,62,False
2015-08-16,65,False
2015-08-23,67,False
2015-08-30,70,False
2015-09-06,69,False
2015-09-13,67,False
2015-09-20,77,False
2015-09-27,70,False
2015-10-04,68,False
2015-10-11,75,False
2015-10-18,78,False
2015-10-25,75,False
2015-11-01,79,False
2015-11-08,76,False
2015-11-15,80,False
2015-11-22,63,False
2015-11-29,77,False
2015-12-06,82,False
2015-12-13,79,False
2015-12-20,63,False
2015-12-27,51,False
