geoName,rejected
Alabama,63
Alaska,85
Arizona,79
Arkansas,66
California,85
Colorado,67
Connecticut,77
Delaware,100
District of Columbia,75
Florida,72
Georgia,72
Hawaii,77
Idaho,61
Illinois,74
Indiana,72
Iowa,68
Kansas,60
Kentucky,66
Louisiana,65
Maine,53
Maryland,94
Massachusetts,79
Michigan,65
Minnesota,73
Mississippi,83
Missouri,74
Montana,48
Nebraska,66
Nevada,71
New Hampshire,56
New Jersey,87
New Mexico,67
New York,79
North Carolina,74
North Dakota,53
Ohio,71
Oklahoma,76
Oregon,75
Pennsylvania,76
Rhode Island,80
South Carolina,63
South Dakota,69
Tennessee,60
Texas,74
Utah,80
Vermont,75
Virginia,85
Washington,78
West Virginia,84
Wisconsin,67
Wyoming,47
