date,rejected,isPartial
2016-01-03,71,False
2016-01-10,73,False
2016-01-17,76,False
2016-01-24,80,False
2016-01-31,88,False
2016-02-07,100,False
2016-02-14,96,False
2016-02-21,87,False
2016-02-28,81,False
2016-03-06,81,False
2016-03-13,82,False
2016-03-20,80,False
2016-03-27,89,False
2016-04-03,81,False
2016-04-10,82,False
2016-04-17,91,False
2016-04-24,89,False
2016-05-01,76,False
2016-05-08,82,False
2016-05-15,80,False
2016-05-22,70,False
2016-05-29,70,False
2016-06-05,67,False
2016-06-12,69,False
2016-06-19,64,False
2016-06-26,65,False
2016-07-03,59,False
2016-07-10,64,False
2016-07-17,60,False
2016-07-24,61,False
2016-07-31,56,False
2016-08-07,55,False
2016-08-14,51,False
2016-08-21,57,False
2016-08-28,61,False
2016-09-04,69,False
2016-09-11,71,False
2016-09-18,70,False
2016-09-25,66,False
2016-10-02,75,False
2016-10-09,66,False
2016-10-16,75,False
2016-10-23,74,False
2016-10-30,71,False
2016-11-06,71,False
2016-11-13,84,False
2016-11-20,59,False
2016-11-27,85,False
2016-12-04,86,False
2016-12-11,81,False
2016-12-18,67,False
2016-12-25,52,False
