date,rejected,isPartial
2011-01-02,63,False
2011-01-09,76,False
2011-01-16,61,False
2011-01-23,83,False
2011-01-30,78,False
2011-02-06,83,False
2011-02-13,96,False
2011-02-20,88,False
2011-02-27,79,False
2011-03-06,79,False
2011-03-13,86,False
2011-03-20,90,False
2011-03-27,93,False
2011-04-03,100,False
2011-04-10,93,False
2011-04-17,91,False
2011-04-24,87,False
2011-05-01,80,False
2011-05-08,71,False
2011-05-15,87,False
2011-05-22,87,False
2011-05-29,88,False
2011-06-05,67,False
2011-06-12,69,False
2011-06-19,79,False
2011-06-26,73,False
2011-07-03,74,False
2011-07-10,59,False
2011-07-17,62,False
2011-07-24,76,False
2011-07-31,77,False
2011-08-07,58,False
2011-08-14,69,False
2011-08-21,66,False
2011-08-28,70,False
2011-09-04,65,False
2011-09-11,75,False
2011-09-18,78,False
2011-09-25,91,False
2011-10-02,73,False
2011-10-09,88,False
2011-10-16,80,False
2011-10-23,85,False
2011-10-30,80,False
2011-11-06,76,False
2011-11-13,92,False
2011-11-20,76,False
2011-11-27,78,False
2011-12-04,86,False
2011-12-11,100,False
2011-12-18,92,False
2011-12-25,58,False
