geoName,rejected
Alabama,70
Alaska,38
Arizona,65
Arkansas,75
California,80
Colorado,66
Connecticut,77
Delaware,100
District of Columbia,69
Florida,67
Georgia,61
Hawaii,55
Idaho,67
Illinois,68
Indiana,73
Iowa,60
Kansas,76
Kentucky,63
Louisiana,58
Maine,74
Maryland,76
Massachusetts,90
Michigan,62
Minnesota,68
Mississippi,73
Missouri,75
Montana,55
Nebraska,64
Nevada,71
New Hampshire,60
New Jersey,76
New Mexico,67
New York,75
North Carolina,70
North Dakota,64
Ohio,65
Oklahoma,56
Oregon,49
Pennsylvania,75
Rhode Island,89
South Carolina,63
South Dakota,55
Tennessee,69
Texas,67
Utah,56
Vermont,56
Virginia,63
Washington,69
West Virginia,69
Wisconsin,64
Wyoming,50
