geoName,rejected
Alabama,75
Alaska,71
Arizona,88
Arkansas,81
California,89
Colorado,80
Connecticut,87
Delaware,77
District of Columbia,88
Florida,75
Georgia,74
Hawaii,93
Idaho,78
Illinois,78
Indiana,89
Iowa,59
Kansas,83
Kentucky,58
Louisiana,71
Maine,60
Maryland,90
Massachusetts,91
Michigan,80
Minnesota,72
Mississippi,73
Missouri,63
Montana,51
Nebraska,77
Nevada,75
New Hampshire,65
New Jersey,92
New Mexico,85
New York,92
North Carolina,83
North Dakota,100
Ohio,83
Oklahoma,76
Oregon,60
Pennsylvania,89
Rhode Island,79
South Carolina,56
South Dakota,91
Tennessee,72
Texas,78
Utah,73
Vermont,43
Virginia,87
Washington,80
West Virginia,89
Wisconsin,81
Wyoming,60
