date,pessimism,isPartial
2012-01-01,62,False
2012-01-08,40,False
2012-01-15,43,False
2012-01-22,72,False
2012-01-29,60,False
2012-02-05,52,False
2012-02-12,60,False
2012-02-19,67,False
2012-02-26,74,False
2012-03-04,68,False
2012-03-11,31,False
2012-03-18,67,False
2012-03-25,52,False
2012-04-01,59,False
2012-04-08,76,False
2012-04-15,100,False
2012-04-22,66,False
2012-04-29,66,False
2012-05-06,66,False
2012-05-13,73,False
2012-05-20,46,False
2012-05-27,41,False
2012-06-03,40,False
2012-06-10,34,False
2012-06-17,41,False
2012-06-24,46,False
2012-07-01,42,False
2012-07-08,36,False
2012-07-15,33,False
2012-07-22,45,False
2012-07-29,36,False
2012-08-05,30,False
2012-08-12,42,False
2012-08-19,45,False
2012-08-26,51,False
2012-09-02,50,False
2012-09-09,58,False
2012-09-16,63,False
2012-09-23,51,False
2012-09-30,56,False
2012-10-07,69,False
2012-10-14,49,False
2012-10-21,62,False
2012-10-28,42,False
2012-11-04,54,False
2012-11-11,56,False
2012-11-18,55,False
2012-11-25,67,False
2012-12-02,53,False
2012-12-09,76,False
2012-12-16,33,False
2012-12-23,52,False
2012-12-30,34,False
