date,pessimism,isPartial
2016-01-03,67,False
2016-01-10,64,False
2016-01-17,77,False
2016-01-24,69,False
2016-01-31,86,False
2016-02-07,68,False
2016-02-14,60,False
2016-02-21,52,False
2016-02-28,86,False
2016-03-06,74,False
2016-03-13,60,False
2016-03-20,70,False
2016-03-27,46,False
2016-04-03,87,False
2016-04-10,100,False
2016-04-17,84,False
2016-04-24,79,False
2016-05-01,95,False
2016-05-08,73,False
2016-05-15,60,False
2016-05-22,52,False
2016-05-29,69,False
2016-06-05,63,False
2016-06-12,48,False
2016-06-19,53,False
2016-06-26,37,False
2016-07-03,72,False
2016-07-10,51,False
2016-07-17,42,False
2016-07-24,41,False
2016-07-31,28,False
2016-08-07,41,False
2016-08-14,46,False
2016-08-21,54,False
2016-08-28,49,False
2016-09-04,92,False
2016-09-11,71,False
2016-09-18,56,False
2016-09-25,85,False
2016-10-02,59,False
2016-10-09,58,False
2016-10-16,65,False
2016-10-23,74,False
2016-10-30,58,False
2016-11-06,72,False
2016-11-13,62,False
2016-11-20,73,False
2016-11-27,90,False
2016-12-04,79,False
2016-12-11,83,False
2016-12-18,34,False
2016-12-25,57,False
