date,pessimism,isPartial
2011-01-02,34,False
2011-01-09,51,False
2011-01-16,61,False
2011-01-23,79,False
2011-01-30,41,False
2011-02-06,77,False
2011-02-13,72,False
2011-02-20,25,False
2011-02-27,60,False
2011-03-06,73,False
2011-03-13,33,False
2011-03-20,53,False
2011-03-27,45,False
2011-04-03,49,False
2011-04-10,56,False
2011-04-17,47,False
2011-04-24,64,False
2011-05-01,32,False
2011-05-08,43,False
2011-05-15,39,False
2011-05-22,76,False
2011-05-29,41,False
2011-06-05,36,False
2011-06-12,51,False
2011-06-19,46,False
2011-06-26,40,False
2011-07-03,56,False
2011-07-10,53,False
2011-07-17,45,False
2011-07-24,27,False
2011-07-31,24,False
2011-08-07,55,False
2011-08-14,35,False
2011-08-21,40,False
2011-08-28,54,False
2011-09-04,54,False
2011-09-11,45,False
2011-09-18,42,False
2011-09-25,61,False
2011-10-02,48,False
2011-10-09,63,False
2011-10-16,35,False
2011-10-23,68,False
2011-10-30,86,False
2011-11-06,58,False
2011-11-13,70,False
2011-11-20,59,False
2011-11-27,100,False
2011-12-04,68,False
2011-12-11,62,False
2011-12-18,44,False
2011-12-25,36,False
