date,pessimism,isPartial
2015-01-04,36,False
2015-01-11,63,False
2015-01-18,38,False
2015-01-25,54,False
2015-02-01,54,False
2015-02-08,63,False
2015-02-15,50,False
2015-02-22,55,False
2015-03-01,53,False
2015-03-08,63,False
2015-03-15,48,False
2015-03-22,100,False
2015-03-29,54,False
2015-04-05,47,False
2015-04-12,56,False
2015-04-19,49,False
2015-04-26,51,False
2015-05-03,48,False
2015-05-10,63,False
2015-05-17,56,False
2015-05-24,42,False
2015-05-31,57,False
2015-06-07,46,False
2015-06-14,53,False
2015-06-21,46,False
2015-06-28,24,False
2015-07-05,37,False
2015-07-12,39,False
2015-07-19,30,False
2015-07-26,32,False
2015-08-02,57,False
2015-08-09,48,False
2015-08-16,43,False
2015-08-23,53,False
2015-08-30,41,False
2015-09-06,57,False
2015-09-13,65,False
2015-09-20,54,False
2015-09-27,63,False
2015-10-04,83,False
2015-10-11,61,False
2015-10-18,82,False
2015-10-25,76,False
2015-11-01,57,False
2015-11-08,57,False
2015-11-15,55,False
2015-11-22,37,False
2015-11-29,57,False
2015-12-06,52,False
2015-12-13,54,False
2015-12-20,31,False
2015-12-27,26,False
