geoName,pessimism
Alabama,40
Alaska,0
Arizona,53
Arkansas,74
California,47
Colorado,52
Connecticut,60
Delaware,0
District of Columbia,100
Florida,54
Georgia,56
Hawaii,46
Idaho,72
Illinois,41
Indiana,42
Iowa,50
Kansas,54
Kentucky,31
Louisiana,33
Maine,44
Maryland,64
Massachusetts,49
Michigan,67
Minnesota,42
Mississippi,48
Missouri,38
Montana,0
Nebraska,68
Nevada,69
New Hampshire,27
New Jersey,62
New Mexico,39
New York,50
North Carolina,54
North Dakota,0
Ohio,36
Oklahoma,39
Oregon,40
Pennsylvania,54
Rhode Island,80
South Carolina,55
South Dakota,0
Tennessee,53
Texas,51
Utah,60
Vermont,0
Virginia,42
Washington,49
West Virginia,0
Wisconsin,47
Wyoming,0
