date,pessimism,isPartial
2014-01-05,56,False
2014-01-12,50,False
2014-01-19,48,False
2014-01-26,79,False
2014-02-02,61,False
2014-02-09,65,False
2014-02-16,60,False
2014-02-23,90,False
2014-03-02,95,False
2014-03-09,58,False
2014-03-16,65,False
2014-03-23,76,False
2014-03-30,84,False
2014-04-06,80,False
2014-04-13,59,False
2014-04-20,81,False
2014-04-27,64,False
2014-05-04,38,False
2014-05-11,58,False
2014-05-18,63,False
2014-05-25,71,False
2014-06-01,34,False
2014-06-08,47,False
2014-06-15,48,False
2014-06-22,54,False
2014-06-29,44,False
2014-07-06,66,False
2014-07-13,63,False
2014-07-20,44,False
2014-07-27,28,False
2014-08-03,50,False
2014-08-10,62,False
2014-08-17,37,False
2014-08-24,48,False
2014-08-31,58,False
2014-09-07,58,False
2014-09-14,88,False
2014-09-21,74,False
2014-09-28,83,False
2014-10-05,53,False
2014-10-12,64,False
2014-10-19,82,False
2014-10-26,100,False
2014-11-02,78,False
2014-11-09,78,False
2014-11-16,87,False
2014-11-23,71,False
2014-11-30,97,False
2014-12-07,86,False
2014-12-14,79,False
2014-12-21,35,False
2014-12-28,26,False
