date,pessimism,isPartial
2013-01-06,52,False
2013-01-13,64,False
2013-01-20,50,False
2013-01-27,57,False
2013-02-03,100,False
2013-02-10,57,False
2013-02-17,71,False
2013-02-24,67,False
2013-03-03,65,False
2013-03-10,65,False
2013-03-17,49,False
2013-03-24,59,False
2013-03-31,63,False
2013-04-07,69,False
2013-04-14,82,False
2013-04-21,64,False
2013-04-28,81,False
2013-05-05,78,False
2013-05-12,60,False
2013-05-19,74,False
2013-05-26,62,False
2013-06-02,50,False
2013-06-09,48,False
2013-06-16,57,False
2013-06-23,39,False
2013-06-30,44,False
2013-07-07,59,False
2013-07-14,50,False
2013-07-21,53,False
2013-07-28,35,False
2013-08-04,38,False
2013-08-11,18,False
2013-08-18,67,False
2013-08-25,71,False
2013-09-01,55,False
2013-09-08,70,False
2013-09-15,59,False
2013-09-22,77,False
2013-09-29,42,False
2013-10-06,100,False
2013-10-13,71,False
2013-10-20,62,False
2013-10-27,54,False
2013-11-03,90,False
2013-11-10,81,False
2013-11-17,90,False
2013-11-24,74,False
2013-12-01,100,False
2013-12-08,94,False
2013-12-15,88,False
2013-12-22,33,False
2013-12-29,29,False
