geoName,pessimism
Alabama,100
Alaska,0
Arizona,29
Arkansas,59
California,65
Colorado,53
Connecticut,58
Delaware,0
District of Columbia,51
Florida,46
Georgia,61
Hawaii,39
Idaho,32
Illinois,43
Indiana,56
Iowa,53
Kansas,63
Kentucky,88
Louisiana,45
Maine,16
Maryland,60
Massachusetts,54
Michigan,41
Minnesota,46
Mississippi,37
Missouri,53
Montana,0
Nebraska,57
Nevada,27
New Hampshire,28
New Jersey,69
New Mexico,14
New York,48
North Carolina,47
North Dakota,0
Ohio,39
Oklahoma,41
Oregon,30
Pennsylvania,58
Rhode Island,0
South Carolina,69
South Dakota,0
Tennessee,32
Texas,41
Utah,57
Vermont,0
Virginia,62
Washington,45
West Virginia,18
Wisconsin,60
Wyoming,0
