geoName,disinterest
Alabama,0
Alaska,0
Arizona,63
Arkansas,0
California,62
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,61
Georgia,31
Hawaii,0
Idaho,0
Illinois,33
Indiana,88
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,21
Massachusetts,79
Michigan,57
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,55
New Mexico,0
New York,79
North Carolina,70
North Dakota,0
Ohio,69
Oklahoma,0
Oregon,0
Pennsylvania,100
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,28
Utah,0
Vermont,0
Virginia,69
Washington,63
West Virginia,0
Wisconsin,0
Wyoming,0
