geoName,disinterest
Alabama,0
Alaska,0
Arizona,71
Arkansas,0
California,26
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,63
Georgia,38
Hawaii,0
Idaho,0
Illinois,36
Indiana,34
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,41
Massachusetts,42
Michigan,8
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,49
New Mexico,0
New York,41
North Carolina,100
North Dakota,0
Ohio,41
Oklahoma,0
Oregon,0
Pennsylvania,50
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,40
Utah,0
Vermont,0
Virginia,38
Washington,29
West Virginia,0
Wisconsin,0
Wyoming,0
