geoName,disinterest
Alabama,0
Alaska,0
Arizona,31
Arkansas,0
California,68
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,40
Georgia,78
Hawaii,0
Idaho,0
Illinois,84
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,60
Massachusetts,49
Michigan,68
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,79
New Mexico,0
New York,56
North Carolina,54
North Dakota,0
Ohio,57
Oklahoma,0
Oregon,0
Pennsylvania,100
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,44
Utah,0
Vermont,0
Virginia,41
Washington,78
West Virginia,0
Wisconsin,0
Wyoming,0
