geoName,disinterest
Alabama,0
Alaska,0
Arizona,62
Arkansas,0
California,63
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,30
Georgia,82
Hawaii,0
Idaho,0
Illinois,61
Indiana,44
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,97
Massachusetts,100
Michigan,44
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,90
North Carolina,63
North Dakota,0
Ohio,59
Oklahoma,0
Oregon,0
Pennsylvania,49
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,47
Utah,0
Vermont,0
Virginia,23
Washington,70
West Virginia,0
Wisconsin,0
Wyoming,0
