geoName,disinterest
Alabama,0
Alaska,0
Arizona,63
Arkansas,0
California,70
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,46
Georgia,91
Hawaii,0
Idaho,0
Illinois,70
Indiana,91
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,82
Massachusetts,100
Michigan,70
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,72
New Mexico,0
New York,55
North Carolina,76
North Dakota,0
Ohio,28
Oklahoma,0
Oregon,0
Pennsylvania,66
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,52
Utah,0
Vermont,0
Virginia,91
Washington,64
West Virginia,0
Wisconsin,0
Wyoming,0
