date,disinterest,isPartial
2012-01-01,41,False
2012-01-08,26,False
2012-01-15,13,False
2012-01-22,50,False
2012-01-29,75,False
2012-02-05,38,False
2012-02-12,87,False
2012-02-19,0,False
2012-02-26,25,False
2012-03-04,64,False
2012-03-11,76,False
2012-03-18,51,False
2012-03-25,38,False
2012-04-01,90,False
2012-04-08,78,False
2012-04-15,75,False
2012-04-22,75,False
2012-04-29,37,False
2012-05-06,37,False
2012-05-13,50,False
2012-05-20,13,False
2012-05-27,13,False
2012-06-03,26,False
2012-06-10,51,False
2012-06-17,39,False
2012-06-24,51,False
2012-07-01,27,False
2012-07-08,38,False
2012-07-15,100,False
2012-07-22,62,False
2012-07-29,50,False
2012-08-05,12,False
2012-08-12,25,False
2012-08-19,99,False
2012-08-26,37,False
2012-09-02,37,False
2012-09-09,12,False
2012-09-16,59,False
2012-09-23,58,False
2012-09-30,58,False
2012-10-07,57,False
2012-10-14,78,False
2012-10-21,45,False
2012-10-28,57,False
2012-11-04,89,False
2012-11-11,34,False
2012-11-18,36,False
2012-11-25,32,False
2012-12-02,33,False
2012-12-09,54,False
2012-12-16,0,False
2012-12-23,0,False
2012-12-30,35,False
