geoName,disinterest
Alabama,0
Alaska,0
Arizona,22
Arkansas,0
California,66
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,75
Georgia,43
Hawaii,0
Idaho,0
Illinois,60
Indiana,96
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,22
Massachusetts,51
Michigan,98
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,77
New Mexico,0
New York,92
North Carolina,29
North Dakota,0
Ohio,55
Oklahoma,0
Oregon,0
Pennsylvania,69
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,37
Utah,0
Vermont,0
Virginia,100
Washington,93
West Virginia,0
Wisconsin,0
Wyoming,0
