date,suicide,isPartial
2012-01-01,50,False
2012-01-08,50,False
2012-01-15,50,False
2012-01-22,52,False
2012-01-29,63,False
2012-02-05,55,False
2012-02-12,53,False
2012-02-19,57,False
2012-02-26,56,False
2012-03-04,50,False
2012-03-11,49,False
2012-03-18,52,False
2012-03-25,53,False
2012-04-01,53,False
2012-04-08,56,False
2012-04-15,58,False
2012-04-22,57,False
2012-04-29,73,False
2012-05-06,62,False
2012-05-13,55,False
2012-05-20,56,False
2012-05-27,51,False
2012-06-03,52,False
2012-06-10,49,False
2012-06-17,46,False
2012-06-24,49,False
2012-07-01,50,False
2012-07-08,51,False
2012-07-15,46,False
2012-07-22,46,False
2012-07-29,49,False
2012-08-05,47,False
2012-08-12,46,False
2012-08-19,59,False
2012-08-26,100,False
2012-09-02,53,False
2012-09-09,70,False
2012-09-16,52,False
2012-09-23,92,False
2012-09-30,68,False
2012-10-07,57,False
2012-10-14,66,False
2012-10-21,57,False
2012-10-28,73,False
2012-11-04,58,False
2012-11-11,58,False
2012-11-18,50,False
2012-11-25,76,False
2012-12-02,98,False
2012-12-09,76,False
2012-12-16,59,False
2012-12-23,53,False
2012-12-30,47,False
