date,suicide,isPartial
2013-01-06,79,False
2013-01-13,74,False
2013-01-20,74,False
2013-01-27,73,False
2013-02-03,72,False
2013-02-10,78,False
2013-02-17,100,False
2013-02-24,82,False
2013-03-03,73,False
2013-03-10,74,False
2013-03-17,81,False
2013-03-24,72,False
2013-03-31,75,False
2013-04-07,86,False
2013-04-14,87,False
2013-04-21,84,False
2013-04-28,82,False
2013-05-05,76,False
2013-05-12,76,False
2013-05-19,77,False
2013-05-26,68,False
2013-06-02,84,False
2013-06-09,74,False
2013-06-16,66,False
2013-06-23,67,False
2013-06-30,63,False
2013-07-07,62,False
2013-07-14,61,False
2013-07-21,62,False
2013-07-28,64,False
2013-08-04,64,False
2013-08-11,82,False
2013-08-18,88,False
2013-08-25,76,False
2013-09-01,87,False
2013-09-08,97,False
2013-09-15,79,False
2013-09-22,78,False
2013-09-29,82,False
2013-10-06,76,False
2013-10-13,85,False
2013-10-20,77,False
2013-10-27,78,False
2013-11-03,78,False
2013-11-10,76,False
2013-11-17,80,False
2013-11-24,78,False
2013-12-01,77,False
2013-12-08,75,False
2013-12-15,70,False
2013-12-22,69,False
2013-12-29,66,False
