date,suicide,isPartial
2011-01-02,79,False
2011-01-09,72,False
2011-01-16,81,False
2011-01-23,75,False
2011-01-30,68,False
2011-02-06,70,False
2011-02-13,74,False
2011-02-20,80,False
2011-02-27,80,False
2011-03-06,94,False
2011-03-13,74,False
2011-03-20,76,False
2011-03-27,79,False
2011-04-03,81,False
2011-04-10,80,False
2011-04-17,91,False
2011-04-24,85,False
2011-05-01,77,False
2011-05-08,81,False
2011-05-15,80,False
2011-05-22,80,False
2011-05-29,76,False
2011-06-05,67,False
2011-06-12,67,False
2011-06-19,66,False
2011-06-26,75,False
2011-07-03,69,False
2011-07-10,68,False
2011-07-17,68,False
2011-07-24,72,False
2011-07-31,68,False
2011-08-07,64,False
2011-08-14,100,False
2011-08-21,74,False
2011-08-28,69,False
2011-09-04,83,False
2011-09-11,74,False
2011-09-18,81,False
2011-09-25,78,False
2011-10-02,75,False
2011-10-09,78,False
2011-10-16,88,False
2011-10-23,88,False
2011-10-30,79,False
2011-11-06,79,False
2011-11-13,89,False
2011-11-20,74,False
2011-11-27,89,False
2011-12-04,86,False
2011-12-11,74,False
2011-12-18,66,False
2011-12-25,67,False
