date,suicide,isPartial
2015-01-04,21,False
2015-01-11,26,False
2015-01-18,24,False
2015-01-25,24,False
2015-02-01,23,False
2015-02-08,23,False
2015-02-15,23,False
2015-02-22,27,False
2015-03-01,30,False
2015-03-08,26,False
2015-03-15,24,False
2015-03-22,26,False
2015-03-29,27,False
2015-04-05,29,False
2015-04-12,28,False
2015-04-19,36,False
2015-04-26,35,False
2015-05-03,48,False
2015-05-10,32,False
2015-05-17,31,False
2015-05-24,30,False
2015-05-31,27,False
2015-06-07,25,False
2015-06-14,22,False
2015-06-21,23,False
2015-06-28,24,False
2015-07-05,26,False
2015-07-12,100,False
2015-07-19,40,False
2015-07-26,32,False
2015-08-02,29,False
2015-08-09,27,False
2015-08-16,26,False
2015-08-23,29,False
2015-08-30,28,False
2015-09-06,34,False
2015-09-13,29,False
2015-09-20,29,False
2015-09-27,29,False
2015-10-04,30,False
2015-10-11,28,False
2015-10-18,27,False
2015-10-25,31,False
2015-11-01,31,False
2015-11-08,26,False
2015-11-15,28,False
2015-11-22,23,False
2015-11-29,26,False
2015-12-06,27,False
2015-12-13,27,False
2015-12-20,28,False
2015-12-27,34,False
