date,suicide,isPartial
2016-01-03,16,False
2016-01-10,14,False
2016-01-17,25,False
2016-01-24,18,False
2016-01-31,16,False
2016-02-07,16,False
2016-02-14,15,False
2016-02-21,14,False
2016-02-28,14,False
2016-03-06,14,False
2016-03-13,14,False
2016-03-20,16,False
2016-03-27,20,False
2016-04-03,16,False
2016-04-10,26,False
2016-04-17,18,False
2016-04-24,16,False
2016-05-01,15,False
2016-05-08,15,False
2016-05-15,14,False
2016-05-22,14,False
2016-05-29,16,False
2016-06-05,15,False
2016-06-12,16,False
2016-06-19,18,False
2016-06-26,18,False
2016-07-03,21,False
2016-07-10,22,False
2016-07-17,24,False
2016-07-24,32,False
2016-07-31,100,False
2016-08-07,89,False
2016-08-14,56,False
2016-08-21,40,False
2016-08-28,31,False
2016-09-04,33,False
2016-09-11,29,False
2016-09-18,26,False
2016-09-25,25,False
2016-10-02,25,False
2016-10-09,25,False
2016-10-16,25,False
2016-10-23,24,False
2016-10-30,24,False
2016-11-06,20,False
2016-11-13,23,False
2016-11-20,22,False
2016-11-27,19,False
2016-12-04,20,False
2016-12-11,23,False
2016-12-18,24,False
2016-12-25,24,False
