date,suicide,isPartial
2014-01-05,32,False
2014-01-12,33,False
2014-01-19,33,False
2014-01-26,33,False
2014-02-02,32,False
2014-02-09,38,False
2014-02-16,33,False
2014-02-23,34,False
2014-03-02,32,False
2014-03-09,32,False
2014-03-16,37,False
2014-03-23,33,False
2014-03-30,33,False
2014-04-06,33,False
2014-04-13,37,False
2014-04-20,34,False
2014-04-27,34,False
2014-05-04,35,False
2014-05-11,31,False
2014-05-18,31,False
2014-05-25,33,False
2014-06-01,29,False
2014-06-08,29,False
2014-06-15,27,False
2014-06-22,28,False
2014-06-29,29,False
2014-07-06,27,False
2014-07-13,29,False
2014-07-20,27,False
2014-07-27,29,False
2014-08-03,30,False
2014-08-10,100,False
2014-08-17,43,False
2014-08-24,34,False
2014-08-31,34,False
2014-09-07,40,False
2014-09-14,34,False
2014-09-21,33,False
2014-09-28,32,False
2014-10-05,35,False
2014-10-12,38,False
2014-10-19,36,False
2014-10-26,37,False
2014-11-02,41,False
2014-11-09,40,False
2014-11-16,34,False
2014-11-23,31,False
2014-11-30,51,False
2014-12-07,40,False
2014-12-14,33,False
2014-12-21,28,False
2014-12-28,33,False
