date,discrimination,isPartial
2015-01-04,42,False
2015-01-11,50,False
2015-01-18,54,False
2015-01-25,57,False
2015-02-01,62,False
2015-02-08,65,False
2015-02-15,59,False
2015-02-22,75,False
2015-03-01,68,False
2015-03-08,66,False
2015-03-15,67,False
2015-03-22,83,False
2015-03-29,100,False
2015-04-05,81,False
2015-04-12,78,False
2015-04-19,76,False
2015-04-26,81,False
2015-05-03,80,False
2015-05-10,68,False
2015-05-17,61,False
2015-05-24,55,False
2015-05-31,55,False
2015-06-07,44,False
2015-06-14,41,False
2015-06-21,49,False
2015-06-28,44,False
2015-07-05,46,False
2015-07-12,44,False
2015-07-19,45,False
2015-07-26,40,False
2015-08-02,37,False
2015-08-09,39,False
2015-08-16,39,False
2015-08-23,47,False
2015-08-30,50,False
2015-09-06,52,False
2015-09-13,59,False
2015-09-20,61,False
2015-09-27,65,False
2015-10-04,68,False
2015-10-11,62,False
2015-10-18,71,False
2015-10-25,71,False
2015-11-01,76,False
2015-11-08,75,False
2015-11-15,78,False
2015-11-22,50,False
2015-11-29,80,False
2015-12-06,83,False
2015-12-13,66,False
2015-12-20,27,False
2015-12-27,27,False
