date,discrimination,isPartial
2011-01-02,53,False
2011-01-09,62,False
2011-01-16,59,False
2011-01-23,76,False
2011-01-30,74,False
2011-02-06,82,False
2011-02-13,87,False
2011-02-20,87,False
2011-02-27,90,False
2011-03-06,81,False
2011-03-13,73,False
2011-03-20,88,False
2011-03-27,100,False
2011-04-03,100,False
2011-04-10,89,False
2011-04-17,85,False
2011-04-24,99,False
2011-05-01,91,False
2011-05-08,88,False
2011-05-15,79,False
2011-05-22,73,False
2011-05-29,58,False
2011-06-05,61,False
2011-06-12,62,False
2011-06-19,55,False
2011-06-26,59,False
2011-07-03,49,False
2011-07-10,55,False
2011-07-17,55,False
2011-07-24,60,False
2011-07-31,54,False
2011-08-07,49,False
2011-08-14,52,False
2011-08-21,52,False
2011-08-28,48,False
2011-09-04,56,False
2011-09-11,70,False
2011-09-18,78,False
2011-09-25,70,False
2011-10-02,72,False
2011-10-09,80,False
2011-10-16,79,False
2011-10-23,88,False
2011-10-30,83,False
2011-11-06,95,False
2011-11-13,95,False
2011-11-20,66,False
2011-11-27,91,False
2011-12-04,100,False
2011-12-11,82,False
2011-12-18,45,False
2011-12-25,28,False
