date,discrimination,isPartial
2012-01-01,48,False
2012-01-08,69,False
2012-01-15,63,False
2012-01-22,74,False
2012-01-29,77,False
2012-02-05,79,False
2012-02-12,75,False
2012-02-19,78,False
2012-02-26,86,False
2012-03-04,85,False
2012-03-11,69,False
2012-03-18,84,False
2012-03-25,81,False
2012-04-01,81,False
2012-04-08,83,False
2012-04-15,96,False
2012-04-22,100,False
2012-04-29,96,False
2012-05-06,88,False
2012-05-13,74,False
2012-05-20,74,False
2012-05-27,60,False
2012-06-03,63,False
2012-06-10,56,False
2012-06-17,55,False
2012-06-24,51,False
2012-07-01,41,False
2012-07-08,48,False
2012-07-15,56,False
2012-07-22,66,False
2012-07-29,68,False
2012-08-05,49,False
2012-08-12,50,False
2012-08-19,52,False
2012-08-26,50,False
2012-09-02,55,False
2012-09-09,68,False
2012-09-16,71,False
2012-09-23,76,False
2012-09-30,78,False
2012-10-07,72,False
2012-10-14,80,False
2012-10-21,83,False
2012-10-28,75,False
2012-11-04,84,False
2012-11-11,85,False
2012-11-18,59,False
2012-11-25,87,False
2012-12-02,99,False
2012-12-09,89,False
2012-12-16,53,False
2012-12-23,22,False
2012-12-30,33,False
