date,melancholy,isPartial
2012-01-01,77,False
2012-01-08,85,False
2012-01-15,94,False
2012-01-22,74,False
2012-01-29,78,False
2012-02-05,79,False
2012-02-12,79,False
2012-02-19,71,False
2012-02-26,79,False
2012-03-04,77,False
2012-03-11,76,False
2012-03-18,77,False
2012-03-25,76,False
2012-04-01,85,False
2012-04-08,88,False
2012-04-15,100,False
2012-04-22,85,False
2012-04-29,94,False
2012-05-06,74,False
2012-05-13,86,False
2012-05-20,81,False
2012-05-27,82,False
2012-06-03,81,False
2012-06-10,87,False
2012-06-17,81,False
2012-06-24,66,False
2012-07-01,79,False
2012-07-08,76,False
2012-07-15,76,False
2012-07-22,84,False
2012-07-29,63,False
2012-08-05,68,False
2012-08-12,71,False
2012-08-19,84,False
2012-08-26,88,False
2012-09-02,85,False
2012-09-09,88,False
2012-09-16,75,False
2012-09-23,89,False
2012-09-30,81,False
2012-10-07,86,False
2012-10-14,78,False
2012-10-21,90,False
2012-10-28,68,False
2012-11-04,77,False
2012-11-11,84,False
2012-11-18,72,False
2012-11-25,84,False
2012-12-02,91,False
2012-12-09,85,False
2012-12-16,82,False
2012-12-23,76,False
2012-12-30,77,False
