geoName,unloved
Alabama,68
Alaska,0
Arizona,49
Arkansas,100
California,40
Colorado,38
Connecticut,62
Delaware,0
District of Columbia,27
Florida,27
Georgia,52
Hawaii,0
Idaho,0
Illinois,36
Indiana,26
Iowa,78
Kansas,49
Kentucky,51
Louisiana,0
Maine,0
Maryland,19
Massachusetts,51
Michigan,17
Minnesota,45
Mississippi,27
Missouri,69
Montana,0
Nebraska,0
Nevada,17
New Hampshire,0
New Jersey,68
New Mexico,0
New York,26
North Carolina,41
North Dakota,0
Ohio,35
Oklahoma,16
Oregon,44
Pennsylvania,38
Rhode Island,0
South Carolina,36
South Dakota,0
Tennessee,74
Texas,27
Utah,15
Vermont,0
Virginia,49
Washington,32
West Virginia,0
Wisconsin,32
Wyoming,0
