geoName,unloved
Alabama,60
Alaska,0
Arizona,28
Arkansas,100
California,42
Colorado,56
Connecticut,41
Delaware,0
District of Columbia,23
Florida,38
Georgia,45
Hawaii,0
Idaho,0
Illinois,26
Indiana,38
Iowa,46
Kansas,61
Kentucky,60
Louisiana,59
Maine,0
Maryland,48
Massachusetts,41
Michigan,40
Minnesota,22
Mississippi,44
Missouri,35
Montana,0
Nebraska,0
Nevada,8
New Hampshire,0
New Jersey,72
New Mexico,0
New York,38
North Carolina,36
North Dakota,0
Ohio,40
Oklahoma,28
Oregon,56
Pennsylvania,33
Rhode Island,0
South Carolina,56
South Dakota,0
Tennessee,55
Texas,40
Utah,61
Vermont,0
Virginia,54
Washington,31
West Virginia,0
Wisconsin,29
Wyoming,0
